% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=918622, Thu May  2 20:17:43 2019
1 7 -0.12073084606479284 -0.009817988596113492 0 0 1 1 1
2 14 -0.013946984919743874 -0.013946984919743874 0.002188687239893952 0.06938845677027713 1 1 1
3 21 -0.06328810070672464 -0.06328810070672464 0.008929882552219565 0.042122112854066626 1 1 1
4 28 -0.0365219992963855 -0.0365219992963855 0.004966965785202828 0.039027791870269536 1 1 1
5 35 -0.027226368615631054 -0.027226368615631054 0.1206646321714093 0.16146716244445558 1 1 1
6 42 -0.3230490350163102 -0.3230490350163102 0.07864651931813957 0.20736448449992168 1 1 1
7 49 -0.2474010237893662 -0.1331978000775324 0.2876633664506122 0.2876633664506122 1 1 1
8 56 -0.21943152232410096 -0.11415007804973214 0.2995795890040963 0.2995795890040963 1 1 1
9 63 -0.16413166967177387 -0.13586637419615416 0.36676503472085514 0.36676503472085514 1 1 1
10 70 -0.17067574061134722 -0.12933000757350638 0.4922091951398578 0.4922091951398578 1 1 1
11 77 -0.19413901187180901 -0.07227025074617645 0.4374540677666249 0.4374540677666248 1 1 1
12 84 -0.011745985004380712 -0.01174598500438071 0.03388214852370135 0.34669454158673046 1 1 1
13 91 -0.05336483888307356 -0.014408413098182945 0.447323288623333 0.447323288623333 1 1 1
14 98 -0.055008964641609356 -0.039959142365126606 0.351144850365881 0.351144850365881 1 1 1
15 105 -0.05871185919865522 -0.044107830175069605 0.39205733590182806 0.39205733590182806 1 1 1
16 112 0 0 0.008789231400154286 0.3210986143424203 1 1 1
17 119 -0.1037876465764794 -0.07464852103677429 0.2914445602194708 0.2914445602194708 1 1 1
18 126 -0.34956561166309735 -0.3205116847894773 0.3372232603904888 0.3372232603904888 1 1 1
18 126 -0.34956561166309735 -0.3205116847894773 0.3372232603904888 0.3372232603904888 1 1 1
